naslov,cena,starost,proizvajalec,letnik,velikost okvirja,material,velikost obročev,dolžina opisa,kategorija,posodobljeno,ogledi
Sana cruz bronson 7,1.500 €,Rabljeno,Santa Cruz,2017,L,Karbon,27.5 col (650b),37,Enduro kolesa,30.09.2025,144
Radon Cragger 7.0 M,950 €,Rabljeno,Ostalo,2025,M,Aluminij,29 col,312,Prednje vzmetena / XC kolesa,26.07.2025,231
YT Tues CF Pro 2018,2.000 €,Rabljeno,YT,2018,M,Karbon,27.5 col (650b),924,Downhill in Freeride kolesa,23.09.2025,129
Scott voltage fr730,900 €,Rabljeno,Scott,2016,L,Aluminij,27.5 col (650b),103,Downhill in Freeride kolesa,16.07.2025,420
Rocky Mountain Altitude Carbon 70 Coil,6.525 €,Novo,Ostalo,2024,L,Karbon,29 col,1983,Enduro kolesa,10.10.2025,574
Yt capra elite 29,3.800 €,Rabljeno,YT,2021,L,Karbon,29 col,294,Enduro kolesa,27.08.2025,37
Lapierre,900 €,Rabljeno,Lapierre,2020,XS,Aluminij,27.5 col (650b),148,Gorska kolesa,28.09.2025,23
"Univega, vel M",250 €,Rabljeno,Ostalo,2015,M,Aluminij,26 col,190,Prednje vzmetena / XC kolesa,31.08.2025,68
Gorsko kolo CTM raptor,340 €,Rabljeno,Ostalo,2014,Univerzalna velikost,Aluminij,26 col,136,Prednje vzmetena / XC kolesa,21.09.2025,11
Gorsko kolo 20 col,70 €,Rabljeno,Merida,Neznan,Univerzalna velikost,Aluminij,20 col,41,Gorska kolesa,01.09.2025,13
giant 27.5,980 €,Rabljeno,Giant,2016,M,Karbon,27.5 col (650b),467,Enduro kolesa,27.07.2025,251
Spec status dh 170,1.800 €,Rabljeno,Specialized,2024,M,Aluminij,Mullet (29 in 27.5),86,Downhill in Freeride kolesa,26.08.2025,453
xc kolo willier 503x comp,500 €,Rabljeno,Wilier,2024,XL,Aluminij,29 col,176,Prednje vzmetena / XC kolesa,02.10.2025,53
"Mtb Trek 4700 2013, vel M/L + dodatki",350 €,Rabljeno,Trek,2013,M,Aluminij,26 col,506,Prednje vzmetena / XC kolesa,11.10.2025,567
Santa Cruz Megatower C-kit,2.950 €,Rabljeno,Santa Cruz,2024,M,Karbon,29 col,101,Enduro kolesa,25.09.2025,227
Giant trance,1.000 €,Rabljeno,Giant,2017,M,Aluminij,27.5 col (650b),548,Enduro kolesa,21.08.2025,278
ELAN Rambler 24 MTB - otroško gorsko kolo,215 €,Rabljeno,Ostalo,Neznan,S,Aluminij,24 col,62,Prednje vzmetena / XC kolesa,17.09.2025,32
Specialized enduro comp 650b,900 €,Rabljeno,Specialized,2016,L,Aluminij,27.5 col (650b),37,Enduro kolesa,06.10.2025,138
"Kilimanjaro Sport 27.5""",180 €,Rabljeno,Ostalo,2017,M,Aluminij,27.5 col (650b),366,Prednje vzmetena / XC kolesa,09.10.2025,12
Orange P7,1.100 €,Rabljeno,Orange,2019,L,Jeklo,29 col,383,Enduro kolesa,29.07.2025,104
Giant Glory 2020,1.650 €,Rabljeno,Giant,2020,M,Aluminij,27.5 col (650b),330,Downhill in Freeride kolesa,04.10.2025,288
Sunn Kern,1.300 €,Rabljeno,Sunn,2021,M,Aluminij,29 col,112,Enduro kolesa,26.09.2025,59
Prodam Cube Stereo 140hpc,1.600 €,Rabljeno,Cube,2019,M,Karbon,27.5 col (650b),746,Trail in All-Mountain kolesa,06.09.2025,222
Prodam Scott Spark 960,1.500 €,Rabljeno,Scott,2021,L,Aluminij,29 col,836,Prednje vzmetena / XC kolesa,11.09.2025,53
Specialized STATUS 160 vel. L,2.000 €,Rabljeno,Specialized,2023,L,Aluminij,Mullet (29 in 27.5),461,Enduro kolesa,10.10.2025,346
Norco Sight C3,1.650 €,Rabljeno,Norco,2018,M,Karbon,27.5 col (650b),1097,Trail in All-Mountain kolesa,14.08.2025,341
Orbea oiz m10,2.600 €,Rabljeno,Orbea,2022,L,Karbon,29 col,497,Prednje vzmetena / XC kolesa,03.10.2025,249
Trek Fuel EX 9.7 s Sram GX Eagle AXS menjalnikom,3.100 €,Rabljeno,Trek,2022,L,Karbon,29 col,856,Trail in All-Mountain kolesa,09.09.2025,48
"Schwinn 405 Comp AL 26""",450 €,Rabljeno,Schwinn,2010 ali starejši,S,Aluminij,26 col,382,Enduro kolesa,17.08.2025,119
Canyon spectral,1.500 €,Rabljeno,Canyon,2019,L,Aluminij,27.5 col (650b),375,Enduro kolesa,11.09.2025,769
Bold LINKIN ULTIMATE 135 velikost L,3.250 €,Rabljeno,Scott,2023,L,Karbon,29 col,1637,Enduro kolesa,17.09.2025,93
Commencal FRS,3.100 €,Rabljeno,Commencal,2021,M,Aluminij,27.5 col (650b),52,Downhill in Freeride kolesa,13.08.2025,264
Yt tues,1.300 €,Rabljeno,YT,2017,L,Aluminij,27.5 col (650b),281,Downhill in Freeride kolesa,15.09.2025,310
"ROSE Pikes Peak L - FOX Factory, DT Swiss, SRAM X0 Eagle",1.800 €,Rabljeno,Ostalo,2019,L,Karbon,27.5 col (650b),390,Trail in All-Mountain kolesa,25.08.2025,77
Merida One-sixty 700 M nova,2.300 €,Novo,Merida,2023,M,Aluminij,Mullet (29 in 27.5),288,Enduro kolesa,06.09.2025,199
Scott Aspect 950,530 €,Rabljeno,Scott,2022,L,Aluminij,29 col,517,Prednje vzmetena / XC kolesa,21.09.2025,41
Elan Frisky XL,700 €,Rabljeno,Ostalo,2023,XL,Aluminij,29 col,326,Trail in All-Mountain kolesa,23.09.2025,295
Privateer 141 Gen1 - Velikost P3 (L),1.700 €,Rabljeno,Ostalo,2022,L,Aluminij,29 col,554,Trail in All-Mountain kolesa,26.08.2025,390
Lapierre Spicy 6.9 CF,2.100 €,Rabljeno,Lapierre,2021,XL,Karbon,29 col,74,Enduro kolesa,21.07.2025,192
"Lapierre DH downhill/freeride kolo, VRHUNSKO DH KOLO, NA TEKMOVALNEM NIVOJU !",1.800 €,Rabljeno,Lapierre,2019,M,Aluminij,27.5 col (650b),888,Downhill in Freeride kolesa,21.09.2025,267
Corratec,330 €,Rabljeno,Ostalo,2015,M,Aluminij,26 col,263,Gorska kolesa,01.08.2025,48
SANTA CRUZ V2,1.850 €,Rabljeno,Santa Cruz,2019,M,Karbon,27.5 col (650b),190,Enduro kolesa,31.08.2025,526
Gorsko kolo Specialized velikost XXL,400 €,Rabljeno,Specialized,2020,XXL,Aluminij,29 col,62,Prednje vzmetena / XC kolesa,27.08.2025,91
specialized stumpjumper,720 €,Rabljeno,Specialized,2016,M,Aluminij,26 col,131,Enduro kolesa,04.10.2025,424
Prodam author gorsko kolo 27.5 colsko,300 €,Rabljeno,Ostalo,Neznan,S,Aluminij,27.5 col (650b),34,Prednje vzmetena / XC kolesa,05.10.2025,33
Scott Voltage fr720,1.600 €,Rabljeno,Scott,2019,L,Aluminij,27.5 col (650b),339,Downhill in Freeride kolesa,22.09.2025,384
Trek fuel ex,Po dogovoru,Rabljeno,Trek,2025,L,Karbon,29 col,417,Enduro kolesa,09.10.2025,61
Specialized enduro comp pro karbon - 2018 - M,1.500 €,Rabljeno,Specialized,2018,M,Karbon,29 col,93,Enduro kolesa,18.09.2025,92
Canyon Stoic 2 2022,550 €,Rabljeno,Canyon,2022,M,Aluminij,29 col,204,Trail in All-Mountain kolesa,16.08.2025,748
Merida One-Forty 500,1.600 €,Rabljeno,Merida,2024,M,Aluminij,29 col,458,Trail in All-Mountain kolesa,11.10.2025,37
"Specialized stumpjumper polnovzmeten, gorsko kolo.",670 €,Rabljeno,Specialized,2012,L,Aluminij,26 col,730,Trail in All-Mountain kolesa,10.10.2025,741
"SCOTT SCALE 940, velikost M",1.000 €,Rabljeno,Scott,2022,M,Karbon,29 col,226,Prednje vzmetena / XC kolesa,27.09.2025,101
Specialized Epic S Works 2009,1.200 €,Rabljeno,Specialized,2010 ali starejši,L,Karbon,26 col,215,Prednje vzmetena / XC kolesa,26.09.2025,27
Commencal meta SX velikost L,2.000 €,Rabljeno,Commencal,2022,L,Aluminij,Mullet (29 in 27.5),205,Enduro kolesa,05.09.2025,99
2022 Specialized Enduro S4,2.700 €,Rabljeno,Specialized,2022,L,Karbon,29 col,509,Enduro kolesa,06.10.2025,760
Giant glory,1.400 €,Rabljeno,Giant,2020,M,Aluminij,27.5 col (650b),246,Downhill in Freeride kolesa,10.08.2025,338
SUNN KERN S1,1.000 €,Rabljeno,Sunn,2017,L,Aluminij,27.5 col (650b),185,Trail in All-Mountain kolesa,15.09.2025,129
Rocky Mountain Slayer A50 Shimano,3.499 €,Novo,Ostalo,2024,L,Aluminij,29 col,1581,Downhill in Freeride kolesa,12.10.2025,619
Kolo KTM Ultra 1964 PRO 29,1.900 €,Novo,KTM,2024,XL,Aluminij,29 col,805,Prednje vzmetena / XC kolesa,11.10.2025,177
mondraker,550 €,Rabljeno,Mondraker,2016,M,Aluminij,26 col,98,Gorska kolesa,27.09.2025,39
Giant Fathom 1 M 2021,900 €,Rabljeno,Giant,2021,M,Aluminij,27.5 col (650b),306,Prednje vzmetena / XC kolesa,27.07.2025,166
Vitus Sommet enduro kolo,2.000 €,Rabljeno,Ostalo,2022,L,Aluminij,27.5 col (650b),922,Enduro kolesa,07.10.2025,596
Commencal Meta AM 29 Medium,2.000 €,Rabljeno,Commencal,2021,M,Aluminij,29 col,524,Enduro kolesa,10.10.2025,322
CUBE Fritzz HPA,1.300 €,Rabljeno,Cube,2014,L,Aluminij,27.5 col (650b),953,Trail in All-Mountain kolesa,03.10.2025,519
"Ghost SL AMR LC – Fox 36 Performance Elite, Deore XT, dropper, 29",1.490 €,Rabljeno,Ghost,2019,Rabljeno,Karbon,29 col,397,Gorska kolesa,19.08.2025,63
Nukeproof Giga-L,2.300 €,Rabljeno,Nukeproof,2023,L,Karbon,27.5 col (650b),694,Enduro kolesa,03.09.2025,157
Scott Spark 950 2020,1.500 €,Rabljeno,Scott,2020,M,Aluminij,29 col,126,Trail in All-Mountain kolesa,28.07.2025,220
SCOTT SCALE,2.900 €,Rabljeno,Scott,2021,L,Karbon,27.5 col (650b),139,Prednje vzmetena / XC kolesa,16.09.2025,307
Giant Reign SX2,1.100 €,Rabljeno,Giant,2019,M,Aluminij,29 col,139,Downhill in Freeride kolesa,18.07.2025,231
Commencal Meta TR 29,1.800 €,Rabljeno,Commencal,2021,L,Aluminij,29 col,984,Enduro kolesa,22.07.2025,340
Prodam gorsko kolo CAMP,250 €,Rabljeno,Ostalo,Neznan,L,Aluminij,29 col,368,Prednje vzmetena / XC kolesa,27.08.2025,177
Specialized Stumpjumper,1.500 €,Rabljeno,Specialized,2017,M,Karbon,27.5 col (650b),1411,Trail in All-Mountain kolesa,10.10.2025,61
Specialized Enduro Elite Carbon,1.290 €,Rabljeno,Specialized,2017,L,Karbon,27.5 col (650b),420,Enduro kolesa,23.09.2025,81
Scott scale,2.000 €,Rabljeno,Scott,2023,XL,Karbon,29 col,26,Prednje vzmetena / XC kolesa,27.08.2025,158
"SCOTT GENIUS 920 , malo rabljen, velikost M",2.300 €,Rabljeno,Scott,2023,M,Karbon,29 col,696,Downhill in Freeride kolesa,22.07.2025,248
Torpado Noriker A,1.900 €,Rabljeno,Ostalo,2021,M,Aluminij,27.5 col (650b),264,Enduro kolesa,12.08.2025,21
Giant Anthem Advanced Pro 2 29 2021,1.600 €,Rabljeno,Giant,2021,L,Karbon,29 col,802,Prednje vzmetena / XC kolesa,25.07.2025,118
Canyon spectral AL 6.0 velikost L,1.800 €,Rabljeno,Canyon,2020,L,Aluminij,27.5 col (650b),276,Enduro kolesa,29.08.2025,231
"Propain Tyee CF 6 (29"") - Velikost M",2.800 €,Rabljeno,Ostalo,2024,M,Karbon,29 col,591,Enduro kolesa,30.09.2025,66
Trek superfly 8,650 €,Rabljeno,Trek,2014,XL,Aluminij,29 col,393,Prednje vzmetena / XC kolesa,07.09.2025,73
Prodam Trail Kolo Gt Sport Sensor 2021,1.200 €,Rabljeno,GT,2021,S,Aluminij,29 col,788,Trail in All-Mountain kolesa,04.09.2025,236
Rocky Mountain Altitude A50 Shimano 2025,4.499 €,Novo,Ostalo,2025,L,Aluminij,29 col,1920,Enduro kolesa,11.10.2025,491
Giant Tracker 2016,650 €,Rabljeno,Giant,2016,L,Aluminij,27.5 col (650b),398,Enduro kolesa,09.08.2025,910
Jeffsy CF Mk2 Core 3,1.700 €,Rabljeno,YT,2021,XL,Karbon,Mullet (29 in 27.5),1295,Trail in All-Mountain kolesa,08.08.2025,451
Privateer 161,3.000 €,Rabljeno,Ostalo,2022,M,Aluminij,29 col,171,Enduro kolesa,08.10.2025,24
pordajam focus whistlerja,325 €,Rabljeno,Focus,Neznan,M,Aluminij,29 col,70,Gorska kolesa,30.08.2025,18
YT capra 2019 comp,1.600 €,Rabljeno,YT,2019,L,Aluminij,27.5 col (650b),458,Enduro kolesa,05.10.2025,857
Žensko kolo SPECIALIZED Jynx (XS) 27.5,370 €,Rabljeno,Specialized,2022,XS,Aluminij,27.5 col (650b),160,Prednje vzmetena / XC kolesa,11.10.2025,66
Gorsko kolo Specialized Stumpjumper,1.000 €,Rabljeno,Specialized,2014,M,Aluminij,27.5 col (650b),739,Trail in All-Mountain kolesa,03.10.2025,786
Xc raketa BMC Twostroke,690 €,Rabljeno,Ostalo,2023,L,Aluminij,29 col,144,Prednje vzmetena / XC kolesa,22.09.2025,76
Lapierre Spicy 7.9 CF Carbon 29,3.500 €,Rabljeno,Lapierre,2022,XL,Karbon,29 col,70,Trail in All-Mountain kolesa,15.09.2025,22
GORSKO KOLO SCOTT ASPECT 760,380 €,Rabljeno,Scott,2021,XS,Aluminij,27.5 col (650b),465,Prednje vzmetena / XC kolesa,13.09.2025,54
Pivot Trail 429,4.999 €,Rabljeno,Pivot,2024,M,Karbon,29 col,467,Trail in All-Mountain kolesa,31.08.2025,95
specialized stumpjumper comp alloy 2019,1.350 €,Rabljeno,Specialized,2019,M,Aluminij,29 col,620,Trail in All-Mountain kolesa,29.08.2025,311
TREK SLASH 9.8,2.799 €,Rabljeno,Trek,2022,M,Karbon,29 col,473,Enduro kolesa,27.08.2025,523
Pivot Mach 6,1.490 €,Rabljeno,Pivot,2019,M,Aluminij,27.5 col (650b),173,Trail in All-Mountain kolesa,29.07.2025,239
"Cult Explorer, okvir S",75 €,Rabljeno,Cult,Neznan,S,Aluminij,26 col,61,Prednje vzmetena / XC kolesa,10.10.2025,7
"QAYRON, SPYRO CROMO, 2021, XL, hardtail, trail/enduro, SHIMANO XT/SLX",1.000 €,Rabljeno,Ostalo,2021,XL,Jeklo,29 col,328,Enduro kolesa,08.10.2025,102
Prodam santa cruz nomad C s-kit,2.400 €,Rabljeno,Santa Cruz,2018,L,Karbon,27.5 col (650b),183,Gorska kolesa,01.10.2025,51
giant glory,2.200 €,Rabljeno,Giant,2014,M,Aluminij,26 col,158,Gorska kolesa,16.09.2025,63
"Gorsko kolo Octane One Prone 29""",720 €,Rabljeno,Ostalo,2023,L,Aluminij,29 col,328,Prednje vzmetena / XC kolesa,04.08.2025,275
Trek Roscoe 7,900 €,Rabljeno,Trek,2024,M,Aluminij,29 col,556,Gorska kolesa,28.07.2025,461
Gorsko kolo Orbea Laufey H10,750 €,Rabljeno,Orbea,2019,L,Aluminij,29 col,100,Prednje vzmetena / XC kolesa,03.10.2025,97
Specialized Demo 8 velikost L,2.600 €,Rabljeno,Specialized,Neznan,L,Karbon,27.5 col (650b),409,Downhill in Freeride kolesa,04.10.2025,845
ORBEA RALLON M20,1.800 €,Rabljeno,Orbea,2021,L,Karbon,29 col,477,Enduro kolesa,03.09.2025,930
TREK PROCALIBER 9.7,1.750 €,Rabljeno,Trek,2023,M,Karbon,29 col,2003,Prednje vzmetena / XC kolesa,24.08.2025,50
Rossin Adventure MTB,260 €,Rabljeno,Ostalo,2010 ali starejši,M,Jeklo,26 col,117,Gorska kolesa,23.09.2025,321
MTB Specialized Rockhopper sport M,500 €,Rabljeno,Specialized,2021,M,Aluminij,29 col,68,Prednje vzmetena / XC kolesa,11.10.2025,6
Production Privee Shan no5,950 €,Rabljeno,Ostalo,2018,M,Jeklo,27.5 col (650b),629,Enduro kolesa,11.10.2025,374
Pivot Switchblade v2 Pro XT/ XTR,3.000 €,Rabljeno,Pivot,2021,L,Karbon,29 col,471,Trail in All-Mountain kolesa,08.10.2025,49
Canyon torque 6.0 2022,2.400 €,Rabljeno,Canyon,2022,M,Aluminij,29 col,234,Enduro kolesa,18.08.2025,258
Cube Attention HPA L velikost 29 col,550 €,Rabljeno,Cube,Neznan,Rabljeno,Aluminij,29 col,395,Gorska kolesa,11.08.2025,122
YT TUES UNCAGED 11,3.680 €,Rabljeno,YT,2022,L,Aluminij,27.5 col (650b),556,Downhill in Freeride kolesa,23.09.2025,248
Žensko lahko karbonsko SCOTT Contessa Scale RC (Možen dekliški POPUST!),590 €,Rabljeno,Scott,2012,M,Karbon,26 col,2679,Prednje vzmetena / XC kolesa,02.09.2025,271
Gary Fisher Cake 2 DLX,250 €,Rabljeno,Gary Fisher,2010 ali starejši,M,Aluminij,26 col,874,Trail in All-Mountain kolesa,02.09.2025,241
Specialized Carve - lepo ohranjen,600 €,Rabljeno,Specialized,Neznan,M,Aluminij,29 col,218,Prednje vzmetena / XC kolesa,30.09.2025,245
Trek Marlin 7 2022 L,580 €,Rabljeno,Trek,2022,L,Aluminij,29 col,537,Prednje vzmetena / XC kolesa,27.08.2025,184
Giant reign enduro kolo,1.700 €,Rabljeno,Giant,2018,M,Aluminij,27.5 col (650b),156,Enduro kolesa,21.09.2025,79
Moško gorsko kolo Diamondback Vertec comp,130 €,Rabljeno,Ostalo,2010 ali starejši,M,Aluminij,26 col,124,Prednje vzmetena / XC kolesa,20.09.2025,20
Scott ransom 930,1.799 €,Rabljeno,Scott,2023,M,Aluminij,29 col,525,Enduro kolesa,26.07.2025,212
"2017 Canfield Brothers EPO, L velikost, reach 450mm",2.000 €,Rabljeno,Ostalo,2017,L,Karbon,Na voljo v več velikostih,929,Enduro kolesa,08.08.2025,352
Nukeproof scalp,950 €,Rabljeno,Nukeproof,2012,M,Aluminij,27.5 col (650b),306,Downhill in Freeride kolesa,19.09.2025,004
Giant stance 2,1.650 €,Rabljeno,Giant,2025,L,Aluminij,29 col,343,Trail in All-Mountain kolesa,04.10.2025,78
Trek Remedy 8,2.150 €,Rabljeno,Trek,2018,M,Aluminij,27.5 col (650b),465,Enduro kolesa,10.10.2025,113
Kolo fuji nevada,450 €,Rabljeno,Fuji,2024,M,Aluminij,29 col,272,Prednje vzmetena / XC kolesa,04.08.2025,150
Nakamura Fusion 3.0,250 €,Rabljeno,Nakamura,2022,S,Aluminij,29 col,283,Enduro kolesa,12.09.2025,30
Scott Spark RC 900 (velikost M) - skoraj nerabljen vrhunski XC stroj,2.600 €,Rabljeno,Scott,2021,M,Karbon,29 col,1453,Prednje vzmetena / XC kolesa,21.07.2025,194
Specialized s4,1.350 €,Rabljeno,Specialized,2023,S,Aluminij,29 col,78,Trail in All-Mountain kolesa,24.09.2025,469
Devinci Wilson,1.900 €,Rabljeno,DeVinci,2018,M,Karbon,27.5 col (650b),704,Downhill in Freeride kolesa,10.10.2025,487
Scott Ransom 930,1.550 €,Novo,Scott,2023,M,Aluminij,29 col,327,Enduro kolesa,06.10.2025,222
Mondraker dune r,1.300 €,Rabljeno,Mondraker,2015,L,Aluminij,27.5 col (650b),678,Enduro kolesa,04.10.2025,317
Commencal FRS,1.650 €,Rabljeno,Commencal,2019,L,Aluminij,27.5 col (650b),530,Enduro kolesa,11.10.2025,47
"Specialized Camber Comp 27,5",1.250 €,Rabljeno,Specialized,2018,S,Aluminij,27.5 col (650b),659,Enduro kolesa,30.08.2025,306
Rockrider ST900S polno vzmeten,600 €,Rabljeno,Ostalo,2021,M,Aluminij,27.5 col (650b),176,Trail in All-Mountain kolesa,14.09.2025,177
Author Dexter 29,250 €,Rabljeno,Ostalo,2014,L,Aluminij,29 col,133,Prednje vzmetena / XC kolesa,23.08.2025,118
CUBE STEREO ONE77 PRO 29,2.750 €,Rabljeno,Cube,2022,XXL,Aluminij,29 col,1624,Enduro kolesa,23.09.2025,24
Nukeproof Reactor 290 - large,2.300 €,Rabljeno,Nukeproof,2023,L,Karbon,29 col,1157,Trail in All-Mountain kolesa,01.10.2025,439
Polygon x trada,500 €,Novo,Ostalo,2025,L,Aluminij,29 col,252,Prednje vzmetena / XC kolesa,29.08.2025,141
Specialized stumpjumper s4,1.800 €,Rabljeno,Specialized,2022,L,Karbon,29 col,130,Enduro kolesa,07.09.2025,161
Nukeproof mega 290 factory,3.100 €,Rabljeno,Nukeproof,2021,XL,Karbon,29 col,787,Enduro kolesa,27.09.2025,476
Specialized Stumpjumper Expert Carbon 29,2.200 €,Rabljeno,Specialized,2020,L,Karbon,29 col,722,Gorska kolesa,14.08.2025,88
"Santa Cruz Nomad 6 MX, 2025",3.190 €,Rabljeno,Santa Cruz,2025,L,Karbon,Mullet (29 in 27.5),1153,Enduro kolesa,10.10.2025,37
Ghost Lector SF LC Universal,1.699 €,Rabljeno,Ghost,2021,M,Karbon,29 col,991,Prednje vzmetena / XC kolesa,05.10.2025,555
Giant Reing 1 2021,1.850 €,Rabljeno,Giant,2021,XL,Aluminij,29 col,366,Enduro kolesa,10.10.2025,313
Gorsko polnovzmteno kolo Cube one77 race,2.100 €,Rabljeno,Cube,2023,M,Aluminij,29 col,327,Enduro kolesa,22.09.2025,25
YT Capra,1.200 €,Rabljeno,YT,2017,L,Aluminij,27.5 col (650b),369,Enduro kolesa,12.10.2025,40
Orbea Laufey H10,1.100 €,Rabljeno,Orbea,2024,XL,Aluminij,29 col,466,Prednje vzmetena / XC kolesa,28.09.2025,66
nukeproof mega 275 comp,1.450 €,Rabljeno,Nukeproof,2021,XL,Aluminij,27.5 col (650b),336,Gorska kolesa,12.10.2025,194
yt Capra al1,1.000 €,Rabljeno,YT,2015,M,Aluminij,27.5 col (650b),308,Enduro kolesa,22.09.2025,184
Specialized stumpjumper expert,500 €,Rabljeno,Specialized,2011,M,Aluminij,26 col,72,Trail in All-Mountain kolesa,11.08.2025,343
Giant stance 2,1.250 €,Rabljeno,Giant,2019,S,Aluminij,27.5 col (650b),475,Trail in All-Mountain kolesa,07.10.2025,320
YT tues 2019,2.750 €,Rabljeno,YT,2019,M,Karbon,29 col,210,Downhill in Freeride kolesa,07.09.2025,221
Marin bobcat 4,500 €,Rabljeno,Marin,2024,M,Aluminij,29 col,81,Trail in All-Mountain kolesa,29.08.2025,291
Scott Spark RC 900 Team Issue AXS,1.750 €,Rabljeno,Scott,2020,L,Karbon,29 col,261,Prednje vzmetena / XC kolesa,07.10.2025,287
SPECIALIZED Stumpjumper Alloy 2022 ( S3 ),1.500 €,Rabljeno,Specialized,2022,M,Aluminij,29 col,1815,Enduro kolesa,05.10.2025,54
CUBE STEREO 170 TM 2022 ZEB ULTIMATE,2.500 €,Rabljeno,Cube,2022,L,Aluminij,29 col,221,Trail in All-Mountain kolesa,21.07.2025,117
Specialized Enduro Comp 27.5,1.290 €,Rabljeno,Specialized,2018,L,Aluminij,27.5 col (650b),512,Enduro kolesa,08.10.2025,459
Nukeproof 275 Elite,1.500 €,Rabljeno,Nukeproof,2022,L,Aluminij,27.5 col (650b),78,Enduro kolesa,27.07.2025,155
Norco Fluid HT 1 29,900 €,Rabljeno,Norco,2023,M,Aluminij,29 col,360,Prednje vzmetena / XC kolesa,03.09.2025,524
Rose Muller 29” M,1.900 €,Rabljeno,Ostalo,2023,M,Aluminij,29 col,39,Enduro kolesa,15.09.2025,71
Karbonsko gorsko kolo CUBE Elite C 62 XS VELIKOST,1.350 €,Rabljeno,Cube,2022,XS,Karbon,27.5 col (650b),374,Prednje vzmetena / XC kolesa,21.09.2025,102
TREK SESSION FACTORY 2023,3.999 €,Rabljeno,Trek,2023,L,Aluminij,Mullet (29 in 27.5),118,Downhill in Freeride kolesa,24.08.2025,251
Canyon Exceed CF SLX 2023 XL,2.400 €,Rabljeno,Canyon,2023,XL,Karbon,29 col,611,Prednje vzmetena / XC kolesa,08.08.2025,281
Norco Sight A2,2.100 €,Rabljeno,Norco,2023,M,Aluminij,29 col,297,Trail in All-Mountain kolesa,11.10.2025,136
BH Ultimate RC 7.2 XL Karbon (2020),1.299 €,Rabljeno,BH,2021,XL,Karbon,29 col,1130,Prednje vzmetena / XC kolesa,11.08.2025,171
Giant Talon 1 GE 29 2021,720 €,Rabljeno,Giant,2021,M,Aluminij,29 col,322,Prednje vzmetena / XC kolesa,23.09.2025,31
YT Capra Core 4 - 2023,3.400 €,Rabljeno,YT,2023,XL,Karbon,29 col,1114,Enduro kolesa,04.10.2025,54
Propain Spindrift,3.500 €,Rabljeno,Ostalo,2021,L,Aluminij,Mullet (29 in 27.5),1082,Downhill in Freeride kolesa,19.09.2025,142
Giant ge2,950 €,Rabljeno,Giant,2019,L,Aluminij,27.5 col (650b),163,Gorska kolesa,06.08.2025,899
Mondraker Summum Carbon Pro,2.000 €,Rabljeno,Mondraker,2019,M,Karbon,27.5 col (650b),234,Downhill in Freeride kolesa,17.08.2025,339
Propain spindrift cf,2.500 €,Rabljeno,Ostalo,2022,M,Aluminij,Mullet (29 in 27.5),36,Enduro kolesa,08.10.2025,51
Specialized Status 160,1.800 €,Rabljeno,Specialized,2024,XL,Aluminij,Mullet (29 in 27.5),845,Enduro kolesa,05.10.2025,471
Scott genius lt 710 plus,1.600 €,Rabljeno,Scott,Neznan,L,Karbon,27.5 col (650b),316,Enduro kolesa,06.10.2025,19
"GIANT TRANCE 1. 29,  12-2024",2.500 €,Rabljeno,Giant,2024,L,Aluminij,29 col,1410,Trail in All-Mountain kolesa,03.10.2025,47
Propain Hugene CF 29 2023  M velikost (menjava za gravel),3.200 €,Rabljeno,Ostalo,2023,M,Karbon,29 col,1240,Trail in All-Mountain kolesa,03.10.2025,187
scott scale 980 L 29col,650 €,Rabljeno,Scott,2025,L,Aluminij,29 col,261,Prednje vzmetena / XC kolesa,05.10.2025,185
Norco a3 29 2021,2.200 €,Rabljeno,Norco,2021,M,Aluminij,29 col,587,Enduro kolesa,09.10.2025,10
"Marin Rift Zone 1 29"" M okvir letnik 2023",1.490 €,Rabljeno,Marin,2023,M,Aluminij,29 col,480,Trail in All-Mountain kolesa,05.08.2025,250
Santa Cruz Bullit CC MX X01 AXS RSV kit ⚡️,4.950 €,Rabljeno,Santa Cruz,2023,M,Karbon,Mullet (29 in 27.5),216,Enduro kolesa,03.08.2025,171
Scott Ransom 920,1.600 €,Rabljeno,Scott,2023,L,Aluminij,29 col,383,Enduro kolesa,30.08.2025,554
Norco range a2,1.550 €,Rabljeno,Norco,2020,M,Aluminij,27.5 col (650b),814,Enduro kolesa,07.10.2025,770
Giant stance 2023,1.200 €,Rabljeno,Giant,2023,M,Aluminij,29 col,277,Enduro kolesa,21.08.2025,182
Commencal meta SX,1.850 €,Rabljeno,Commencal,2022,M,Aluminij,Mullet (29 in 27.5),643,Enduro kolesa,09.10.2025,46
Yt tues CF pro race,2.200 €,Rabljeno,YT,2019,L,Karbon,27.5 col (650b),283,Downhill in Freeride kolesa,06.10.2025,477
"Specialized Stupjumper EVO ,  kot Novo ... velikost M",2.100 €,Rabljeno,Specialized,2021,M,Aluminij,29 col,656,Enduro kolesa,24.09.2025,123
Fuji SLM 2.7 karbon c10,850 €,Rabljeno,Fuji,Neznan,L,Karbon,29 col,575,Prednje vzmetena / XC kolesa,15.07.2025,500
All-mountain / enduro kolo sunn,1.400 €,Rabljeno,Sunn,2022,S,Karbon,29 col,355,Trail in All-Mountain kolesa,01.10.2025,66
Gorsko kolo Rockhopper Sport 29 forest/oasis,520 €,Rabljeno,Specialized,2024,L,Aluminij,29 col,843,Prednje vzmetena / XC kolesa,12.09.2025,115
